target_pitch,actual_pitch,target_roll,actual_roll,estimated_total_velocity,vertical_velocity,a_x,a_y,a_z
11.520000,12.143576,1.289253,2.123631,9.661444,-0.116236,1.766330,-0.116119,9.282320
12.440000,11.921029,1.287882,1.750446,9.659160,-0.123495,1.531376,-0.046687,8.684967
13.520000,11.760104,1.287149,0.997634,9.659349,-0.201155,1.511101,-0.005986,8.623915
15.200000,11.688315,1.287127,-0.020875,9.661696,-0.231504,1.544495,0.049081,9.302670
16.280001,11.820999,1.288078,-0.662643,9.664183,-0.233771,1.545688,0.254982,10.356119
16.360001,12.080940,1.491216,-0.657755,9.667617,-0.138304,1.740092,-0.046687,11.240777
16.840000,12.230027,3.045571,-0.079850,9.677656,-0.034836,1.816422,0.156820,11.206061
18.040001,12.228374,3.711882,0.141858,9.684036,0.072438,1.680459,0.677559,10.764331
16.360001,11.924365,5.276189,0.408678,9.692013,0.087826,1.537339,0.529119,9.901221
14.880000,11.896021,6.077964,1.246057,9.696048,0.112840,1.496789,0.028730,9.008183
13.800000,12.100410,6.885050,2.528948,9.701959,0.116607,1.315504,0.527921,10.459070
12.800000,12.339179,7.613910,3.382101,9.708943,0.165047,1.526605,0.596156,10.736797
12.160000,12.094635,8.639086,3.894394,9.709535,0.249228,1.596972,0.158017,12.106281
11.560000,11.722946,9.005693,5.490307,9.712981,0.381997,1.396605,0.362722,10.765528
10.880000,11.764081,9.130385,7.474968,9.718415,0.403957,1.475321,0.092177,10.867282
10.720000,11.817091,9.193350,9.249949,9.720614,0.415483,1.562385,0.399832,10.941502
10.640000,11.856727,9.127050,9.768548,9.732913,0.586504,1.365596,0.341174,10.313024
10.920000,11.931963,8.559381,9.532268,9.737642,0.591973,1.445504,0.059855,9.856929
11.560000,12.041510,7.413277,9.689229,9.744365,0.604755,1.483670,0.016759,10.144233
13.880000,12.097489,5.754139,10.081397,9.750149,0.602682,1.513486,-0.454898,10.262746
16.879999,11.938828,3.428887,9.290231,9.748259,0.565593,1.066238,0.343568,9.405622
19.120001,12.284723,2.706697,8.267680,9.760909,0.626501,1.424037,-0.063446,11.737574
19.959999,12.663629,2.409203,7.572545,9.776674,0.718486,1.710275,0.131681,12.410344
19.959999,12.776367,2.211398,7.360075,9.799632,0.855835,1.606514,0.061052,11.705252
19.959999,12.873883,2.051884,7.111138,9.815696,0.914392,1.393027,-0.023942,11.024101
19.440001,12.970880,1.480818,6.332324,9.832856,0.983838,1.335780,-0.166397,9.527725
17.680000,13.106763,1.174467,5.655569,9.844694,0.973877,1.332202,-0.152032,10.004171
15.920000,13.149074,1.196684,5.456252,9.856329,0.941755,1.276147,-0.041899,9.375694
13.720000,13.133186,1.135814,5.292862,9.865747,0.917664,1.364403,-0.271742,10.099940
11.520000,13.042650,1.012869,4.706659,9.878489,0.916020,1.576697,-0.433351,9.255983
10.520000,13.034698,0.848144,3.950506,9.885983,0.872441,1.489633,0.108936,9.685743
10.440000,12.887259,0.848513,3.158952,9.896139,0.853931,1.583853,0.032322,9.544485
10.200000,12.621552,0.848464,2.131461,9.905959,0.827344,1.656605,-0.252588,9.445126
10.120000,12.660389,0.807650,1.395305,9.911442,0.771236,1.653027,0.153229,9.548077
12.160000,12.570876,0.746632,1.193413,9.929553,0.803495,1.701926,0.099359,11.326968
